"the_geom","OBJECTID","NYSStreetID","LeftFromAddress","LeftToAddress","RightFromAddress","RightToAddress","CompleteStreetName","HighwayNumber","Jurisdiction","FCC","ACC","SPEED","LeftPostal","RightPostal","Shape.STLength(m)"
"MULTILINESTRING ((-78.810473176478 42.926784491626, -78.810473172386 42.927568448303))","1,526","477,782,070","154","180","155","181","Suffolk Street",,"12","A31","4","35","14215","14215","87.15955139887"
"MULTILINESTRING ((-78.877443068677 42.930148028422, -78.877435369698 42.930924786392, -78.877681179718 42.930925829405))","4,938","600,057,687",,,,,"Parking Lot",,"10","A75","6","15","14222","14222","106.44822756905"
"MULTILINESTRING ((-78.872360205803 42.939611488908, -78.872356197595 42.940090441066))","3,375","477,778,187","362","386",,,"Lincoln Parkway",,"12","A45","4","25","14216","14216","53.25261308113"
"MULTILINESTRING ((-78.825204657555 42.832063376071, -78.825199876145 42.832063253717, -78.825195188621 42.832062302938, -78.825190737413 42.832060552625, -78.825186657767 42.832058055958, -78.825183073642 42.832054888798, -78.825180093939 42.832051147378, -78.825177809196 42.832046945378, -78.825176288832 42.832042410475, -78.825175579044 42.832037680458, -78.825175701398 42.832032899048, -78.825176652176 42.832028211525, -78.82517840249 42.832023760316, -78.825180899156 42.83201968067, -78.825184066316 42.832016096545, -78.825187807737 42.832013116843, -78.825192009736 42.832010832099, -78.82519654464 42.832009311735, -78.825201274656 42.832008601947, -78.825206056066 42.832008724301, -78.82521074359 42.832009675079, -78.825215194798 42.832011425393, -78.825219274444 42.83201392206, -78.825222858569 42.83201708922, -78.825225838272 42.83202083064, -78.825228123016 42.83202503264, -78.825229643379 42.832029567543, -78.825230353167 42.83203429756, -78.825230230813 42.83203907897, -78.825229280035 42.832043766493, -78.825227529721 42.832048217702, -78.825225033055 42.832052297347, -78.825221865895 42.832055881473, -78.825218124475 42.832058861175, -78.825213922475 42.832061145919, -78.825209387571 42.832062666283, -78.825204657555 42.832063376071))","11,857",,,,,,,,,,,,,,"19.1511488189"
"MULTILINESTRING ((-78.89678190555 42.964916793193, -78.896777124051 42.964916677764, -78.896772435236 42.96491573379, -78.896767981575 42.964913989952, -78.89676389839 42.964911499238, -78.896760309745 42.964908337325, -78.89675732468 42.964904600287, -78.896755033894 42.964900401672, -78.896753506993 42.964895869053, -78.89675279037 42.964891140151, -78.896752905799 42.964886358651, -78.896753849774 42.964881669837, -78.896755593611 42.964877216176, -78.896758084325 42.96487313299, -78.896761246238 42.964869544345, -78.896764983276 42.96486655928, -78.896769181891 42.964864268495, -78.89677371451 42.964862741594, -78.896778443412 42.96486202497, -78.896783224912 42.9648621404, -78.896787913726 42.964863084374, -78.896792367387 42.964864828211, -78.896796450573 42.964867318926, -78.896800039218 42.964870480838, -78.896803024283 42.964874217876, -78.896805315068 42.964878416491, -78.89680684197 42.964882949111, -78.896807558593 42.964887678013, -78.896807443164 42.964892459513, -78.896806499189 42.964897148327, -78.896804755352 42.964901601988, -78.896802264637 42.964905685173, -78.896799102725 42.964909273818, -78.896795365687 42.964912258883, -78.896791167072 42.964914549669, -78.896786634453 42.96491607657, -78.89678190555 42.964916793193))","12,062",,,,,,,,,,,,,,"19.1511488189"
"MULTILINESTRING ((-78.81600610405 42.958599453367, -78.814959182832 42.95905244375))","2,314","510,092,245","3600","3614","3591","3615","Main Street","5","01","A21","3","35","14226","14226","99.22338937953"
"MULTILINESTRING ((-78.866188134819 42.90363549434, -78.866936093944 42.903641437423, -78.867023139734 42.90366046186, -78.867114212234 42.903714464544, -78.867262163995 42.903851448016))","8,167","477,788,415","2","98","1","99","North Saint Paul Mall",,"12","A41","5","25","14209","14209","97.57189507177"
"MULTILINESTRING ((-78.864408162201 42.887516507985, -78.863274170741 42.887766514894))","7,309","477,792,916","246","276","235","275","Broadway","954L","01","A31","3","35","14204","14204","96.78869872042"
"MULTILINESTRING ((-78.898978115687 42.948949526278, -78.898797231335 42.948992521697, -78.898711149324 42.949067487392, -78.898316227967 42.949505480671))","2,924","477,776,041","100","198","109","199","Progressive Avenue",,"12","A41","5","25","14207","14207","84.8450786132"
"MULTILINESTRING ((-78.820837144379 42.929949457577, -78.820961129978 42.929923524103))","1,985","477,781,089",,,,,"State Route 33","33","01","A15","2","65","14215","14215","10.53180421389"
"MULTILINESTRING ((-78.888381188779 42.943319485397, -78.887799197422 42.943329469196, -78.886082103932 42.943333480638))","3,298","477,777,281","132","148","93","149","Chandler Street",,"12","A41","5","25","14207","14207","187.81260430377"
"MULTILINESTRING ((-78.877012132963 42.923247498313, -78.876166173969 42.923807497377, -78.875565135795 42.924223500405))","5,021","477,783,085",,,"135","199","Bidwell Parkway",,"12","A35","4","35","14222","14222","160.49259537129"
"MULTILINESTRING ((-78.894291108803 42.918440441444, -78.892912168521 42.918455450117))","8,647","477,784,675","176","210","177","211","Auburn Avenue",,"12","A40","5","25","14213","14213","112.69592761055"
"MULTILINESTRING ((-78.885505104999 42.890719436353, -78.884411201281 42.891281440387))","9,211","477,792,214","72","126","97","125","Carolina Street",,"12","A41","5","25","14201","14201","109.09744497466"
"MULTILINESTRING ((-78.882120118321 42.901777476939, -78.882254110699 42.901822446718, -78.882472189143 42.901946494242, -78.882592161032 42.902068471414, -78.882650110008 42.90215843107, -78.882683145026 42.90224950705, -78.882697208643 42.902389487337, -78.882693142045 42.902449500181))","7,967","477,788,955","13","49",,,"Symphony Circle",,"12","A71","5","5","14201","14201","95.14729932249"
"MULTILINESTRING ((-78.899154207385 42.897773500627, -78.898884129835 42.897914437087))","8,980","477,790,031","196","198","89","99","Porter Avenue",,"12","A41","5","25","14201","14201","27.07333189687"
"MULTILINESTRING ((-78.805402122121 42.881767440372, -78.80568012019 42.882166508432, -78.80583210891 42.882318474902, -78.806021188127 42.882440484243, -78.806068145741 42.882459449557))","833","477,794,391","132","184","131","185","James E Casey Drive",,"12","A41","5","25","14206","14206","95.77106347599"
"MULTILINESTRING ((-78.847449091186 42.901165504399, -78.847677120365 42.900921481029, -78.84801311317 42.900627453681, -78.848574203721 42.900162429221))","6,214","477,789,449",,,,,"State Route 33","33","01","A15","2","65","14211","14211","144.72411504271"
"MULTILINESTRING ((-78.850523182996 42.944244487586, -78.850318198954 42.944292449749, -78.850175120375 42.944297449472, -78.850108171783 42.94431852234, -78.850032125892 42.944376456642, -78.849952149838 42.944528521956, -78.849899114707 42.944558489912, -78.84982111774 42.944565528818))","4,576","477,777,023",,,,,"Unnamed Street",,"12","A40","5","25","14216","14216","74.17842015588"
"MULTILINESTRING ((-78.865763127584 42.93416544075, -78.865767115331 42.934211494875))","4,681","477,779,486",,,,,"Delaware Avenue","384","01","A35","3","35","14216","14216","5.13078941283"
"MULTILINESTRING ((-78.889985184485 42.954239481405, -78.88993615164 42.954239439525))","2,628","477,774,723",,,,,"Layer Avenue",,"12","A41","5","25","14207","14207","4.00450995755"
"MULTILINESTRING ((-78.810429118194 42.935087505101, -78.809464191734 42.935094456543, -78.807261135797 42.93508745245, -78.806737105398 42.935090499339))","1,846","477,779,201","84","182","85","181","Millicent Avenue",,"12","A41","5","25","14215","14215","301.61133818055"
"MULTILINESTRING ((-78.894964122928 42.959163466177, -78.894327225964 42.959849459146, -78.894283185067 42.959930462069))","2,604","477,773,315","590","618","613","631","Ontario Street",,"12","A31","4","35","14207","14207","102.01596964526"
"MULTILINESTRING ((-78.839232173528 42.935355510252, -78.839229155408 42.93605349005))","4,306","477,779,132","2250","2284","2251","2285","Fillmore Avenue",,"12","A31","4","35","14214","14214","77.60260433752"
"MULTILINESTRING ((-78.862590175287 42.902959486828, -78.862922195157 42.902955470288, -78.863092155716 42.902978448555, -78.863565199176 42.903061502262, -78.863655208794 42.903055488775, -78.8639451416 42.902989505507))","8,177","477,788,566","2","20","1","19","Holloway Boulevard",,"12","A41","5","25","14209","14209","113.21394511258"
"MULTILINESTRING ((-78.800432129171 42.85449644686, -78.800273122036 42.85459348124))","531","477,800,039","164","170","171","173","Indian Church Road","109","02","A31","4","35","14210","14210","16.89812119757"
"MULTILINESTRING ((-78.877140203958 42.902263514796, -78.878095125883 42.902269477708))","8,027","477,788,797","218","242","215","243","North Street",,"12","A41","4","25","14201","14201","78.05633350342"
"MULTILINESTRING ((-78.821149116804 42.857231501183, -78.82132918126 42.857087454458, -78.821841145032 42.856719462983, -78.821927193001 42.856634471772, -78.822018112246 42.856404446447, -78.822033153528 42.856271497656, -78.822020142519 42.856209446221, -78.821956199315 42.856099486492, -78.821811107833 42.85597549235, -78.821712190698 42.855921444732, -78.821620150835 42.855901471637, -78.821532162712 42.855907474067, -78.82066011138 42.856528440132, -78.820446104281 42.85670549353))","11,328","477,799,817","2","98","1","99","Marbeth Court",,"12","A41","5","25","14220","14220","322.78462087144"
"MULTILINESTRING ((-78.798515091085 42.838852431989, -78.798079090553 42.838747435377, -78.797276161494 42.838536493705))","123","477,802,045","400","426","429","463","Potters Road","950M","01","A31","4","35","14220","14220","107.28874280545"
"MULTILINESTRING ((-78.901768425249 42.914865137309, -78.901763643748 42.914865021737, -78.901758954958 42.914864077622, -78.901754501345 42.91486233365, -78.90175041823 42.914859842811, -78.901746829676 42.914856680788, -78.90174384472 42.914852943657, -78.901741554058 42.91484874497, -78.90174002729 42.914844212301, -78.901739310808 42.914839483373, -78.90173942638 42.914834701872, -78.901740370495 42.914830013082, -78.901742114467 42.914825559469, -78.901744605306 42.914821476354, -78.901747767329 42.9148178878, -78.90175150446 42.914814902844, -78.901755703147 42.914812612182, -78.901760235816 42.914811085414, -78.901764964744 42.914810368932, -78.901769746245 42.914810484504, -78.901774435035 42.914811428619, -78.901778888648 42.914813172591, -78.901782971763 42.91481566343, -78.901786560317 42.914818825453, -78.901789545273 42.914822562584, -78.901791835935 42.914826761271, -78.901793362702 42.91483129394, -78.901794079185 42.914836022868, -78.901793963613 42.914840804369, -78.901793019497 42.914845493159, -78.901791275526 42.914849946772, -78.901788784687 42.914854029887, -78.901785622664 42.914857618441, -78.901781885533 42.914860603397, -78.901777686846 42.914862894059, -78.901773154177 42.914864420827, -78.901768425249 42.914865137309))","12,011",,,,,,,,,,,,,,"19.1511488189"
"MULTILINESTRING ((-78.829348207625 42.93642951137, -78.828215118661 42.936410472098))","4,167","477,778,893","332","498","331","499","Central Park Plaza",,"12","A41","5","25","14215","14215","92.58663942492"
"MULTILINESTRING ((-78.868367220564 42.946701509634, -78.868504205047 42.947785509412))","3,406","477,776,485","2304","2336","2301","2331","Delaware Avenue","384","01","A31","3","35","14216","14216","121.04100544779"
"MULTILINESTRING ((-78.903293150533 42.960183496171, -78.904248168111 42.960879451666, -78.904902142602 42.961370497733, -78.905122127564 42.961520455255, -78.905309167413 42.961624449001))","2,561","477,772,989","76","198","77","199","Argus Street",,"12","A41","5","25","14207","14207","229.90356200726"
"MULTILINESTRING ((-78.830329095202 42.926311935448, -78.830318986179 42.927242333076))","5,840","800,004,881",,,,,"Driveway",,"14","A74","6","15","14215","14215","103.44529268194"
"MULTILINESTRING ((-78.877478842507 42.867009479271, -78.877178101886 42.867120809502, -78.877062780467 42.867155666496))","9,777","800,002,517",,,,,"Parking Lot",,"10","A75","4","15","14203","14203","37.73173540943"
"MULTILINESTRING ((-78.846275207934 42.903803488769, -78.845932207727 42.903796481532))","6,252","477,788,312",,,,,"Best Street",,"12","A35","4","35","14208","14208","28.0457572549"
"MULTILINESTRING ((-78.846180097808 42.919213523375, -78.845917132035 42.919208505497, -78.843708117236 42.919163507615))","5,504","477,784,293","374","452","371","441","Northland Avenue",,"12","A41","5","25","14208","14208","202.07200872061"
"MULTILINESTRING ((-78.843171195374 42.916331518949, -78.843171178199 42.915506507253))","5,469","477,785,306","692","720",,,"Humboldt Parkway",,"12","A30","4","35","14211","14214","91.72574883848"
"MULTILINESTRING ((-78.827949200525 42.922256502233, -78.827951133181 42.922467485209, -78.827950126647 42.92513847841))","5,889","477,783,400","2","104","1","101","Durham Avenue",,"12","A41","5","25","14215","14215","320.41924181404"
"MULTILINESTRING ((-78.893586125887 42.893442441008, -78.893840274643 42.893356649212, -78.893908038955 42.893332326804, -78.893983984405 42.893292671454, -78.894568273517 42.892981180858, -78.894626037057 42.892941577306, -78.894653195229 42.892909679228, -78.894668571131 42.892856177496, -78.894692222537 42.892809245634, -78.894736860027 42.892777238195, -78.894822876309 42.892734186902))","9,177","477,791,574",,,,,"Walkway",,"15","A71","6","5","14201","14201","131.53104350472"
"MULTILINESTRING ((-78.806344162974 42.884713453023, -78.806287177579 42.887349499109))","972","477,793,595","2","90","1","99","Benzinger Street",,"12","A41","5","25","14206","14206","293.1076964185"
"MULTILINESTRING ((-78.878544125908 42.878253450391, -78.878466137635 42.878331457675, -78.878311127239 42.878639512483))","9,978","477,795,381","12","16","13","15","Pearl Street",,"12","A31","5","35","14202","14202","47.28581626585"
"MULTILINESTRING ((-78.845005185724 42.883348449468, -78.84500916648 42.883910510481, -78.844997087303 42.885082486178))","6,681","477,794,013","2","62","1","59","Shumway Street",,"12","A40","5","25","14206","14206","192.79617773276"
"MULTILINESTRING ((-78.823742082058 42.843340439313, -78.823743173479 42.842898495617))","11,435","477,801,387","2036","2052","2035","2053","South Park Avenue","62","01","A21","3","35","14220","14220","49.13480232999"
"MULTILINESTRING ((-78.822660117485 42.892029517568, -78.822661172279 42.89323445703, -78.822659184689 42.893772498792))","6,533","477,791,888","12","78","11","77","Peck Street",,"12","A41","5","25","14212","14212","193.78380041033"
"MULTILINESTRING ((-78.799845081997 42.898702483364, -78.799844111018 42.898732498238))","876","477,789,799",,,,,"Goethe Street",,"12","A41","5","25","14212","14212","3.33793349252"
"MULTILINESTRING ((-78.826530091504 42.918873499873, -78.826530139241 42.919961510821, -78.82654915917 42.920691437926, -78.826540185774 42.92209046983, -78.826556193444 42.92237049058))","5,899","477,784,425","164","398","163","299","Schuele Avenue",,"12","A31","4","35","14215","14215","388.83970478886"
"MULTILINESTRING ((-78.854349131894 42.879021444729, -78.853554178342 42.878871500794, -78.852037150037 42.878603444871))","10,357","477,795,299","556","638","567","639","South Division Street",,"12","A41","5","25","14210","14210","194.67964529567"
"MULTILINESTRING ((-78.853996163053 42.923771486735, -78.853994113091 42.924582520908))","5,570","477,782,972","1788","1808","1789","1807","Jefferson Avenue",,"12","A31","4","35","14208","14208","90.17258397126"
"MULTILINESTRING ((-78.831678162478 42.92194149726, -78.83115819516 42.921982515478))","5,910","477,783,572","676","698","683","699","East Delavan Avenue",,"12","A31","4","35","14215","14215","42.73039784512"
"MULTILINESTRING ((-78.87705110855 42.91546148168, -78.877045186994 42.916910469371))","8,436","477,785,326","678","726","667","723","Elmwood Avenue",,"12","A31","4","35","14222","14222","161.10430223941"
"MULTILINESTRING ((-78.84399009589 42.949401478495, -78.843968102412 42.950291514119))","3,919","477,775,893","334","364","331","361","Starin Avenue",,"12","A31","4","35","14216","14216","98.97199250249"
"MULTILINESTRING ((-78.8426551558 42.923318476684, -78.842490196696 42.923512470052, -78.842272194314 42.923712477929, -78.841829143678 42.924052494304, -78.841614101375 42.924213505334))","5,675","477,783,073",,,,,"Ramp",,"01","A63","2","45","14214","14214","131.34983668375"
"MULTILINESTRING ((-78.831997120756 42.881950436401, -78.831431111512 42.882752465884))","10,950","477,794,343","166","198","167","199","Lewis Street",,"12","A41","5","25","14206","14206","100.46325198858"
"MULTILINESTRING ((-78.803086175051 42.868644483531, -78.802116100951 42.868634431371))","580","477,797,876","182","298","187","299","Casimir Street",,"12","A41","5","25","14206","14206","79.33933450682"
"MULTILINESTRING ((-78.843888096598 42.874809478431, -78.843730129851 42.8750844527, -78.843464199475 42.875434456456, -78.843414119026 42.87548746165))","10,709","477,796,373","24","52","29","47","Fillmore Avenue",,"12","A31","4","35","14210","14210","84.94246059905"
"MULTILINESTRING ((-78.829919524726 42.927385668879, -78.829920528064 42.927243070113))","5,854","800,004,878",,,,,"Driveway Exit",,"14","A74","6","15","14215","14215","15.85439913788"
"MULTILINESTRING ((-78.901129845534 42.897109624569, -78.901125064035 42.89710950876, -78.901120375288 42.897108564412, -78.901115921758 42.897106820218, -78.901111838764 42.897104329175, -78.901108250364 42.897101166972, -78.901105265591 42.897097429691, -78.901102975135 42.897093230887, -78.901101448591 42.897088698139, -78.901100732343 42.897083969172, -78.901100848152 42.897079187673, -78.9011017925 42.897074498926, -78.901103536694 42.897070045396, -78.901106027737 42.897065962401, -78.90110918994 42.897062374002, -78.901112927222 42.897059389229, -78.901117126025 42.897057098773, -78.901121658774 42.897055572229, -78.901126387741 42.89705485598, -78.901131169239 42.89705497179, -78.901135857986 42.897055916138, -78.901140311516 42.897057660332, -78.901144394511 42.897060151375, -78.901147982911 42.897063313578, -78.901150967684 42.897067050859, -78.901153258139 42.897071249663, -78.901154784683 42.897075782411, -78.901155500932 42.897080511378, -78.901155385123 42.897085292877, -78.901154440774 42.897089981624, -78.90115269658 42.897094435154, -78.901150205537 42.897098518148, -78.901147043334 42.897102106548, -78.901143306053 42.897105091321, -78.901139107249 42.897107381777, -78.901134574501 42.897108908321, -78.901129845534 42.897109624569))","11,998",,,,,,,,,,,,,,"19.1511488189"
"MULTILINESTRING ((-78.870889160965 42.871621442934, -78.870764210478 42.871555444481, -78.870681129374 42.871493430508, -78.870607134999 42.871406438532, -78.870389105111 42.871079511031))","10,222","477,797,258","214","222","183","189","Ohio Street",,"12","A31","4","35","14204","14204","74.1551194758"
"MULTILINESTRING ((-78.844068123009 42.880596449407, -78.844062120919 42.881041437235))","10,860","477,794,740","692","716","693","713","Smith Street",,"12","A31","4","35","14210","14206","49.47648431363"
"MULTILINESTRING ((-78.859619196468 42.909467433599, -78.859602151708 42.91018650661))","5,350","477,786,964","266","288","265","287","Masten Avenue",,"12","A41","4","25","14209","14208","79.96026263163"
"MULTILINESTRING ((-78.802111172385 42.935834477683, -78.802112159553 42.936574462947))","1,707","477,779,023","42","72","41","71","Kay Street",,"12","A41","5","25","14215","14215","82.27056399507"
"MULTILINESTRING ((-78.88899511447 42.889617459844, -78.889643111105 42.890267450396))","9,203","477,792,493",,,,,"Interstate 190 Northbound","190","06","A15","1","65","14201","14201","89.60639486084"
"MULTILINESTRING ((-78.817413161776 42.942396455366, -78.817427126622 42.942485486073))","2,099","477,777,485","212","212","215","215","Comstock Avenue",,"12","A30","4","35","14215","14215","9.96391991177"
"MULTILINESTRING ((-78.901802038328 42.898643647798, -78.901797256829 42.898643532057, -78.901792568069 42.898642587775, -78.901788114515 42.898640843645, -78.901784031486 42.898638352661, -78.901780443041 42.898635190509, -78.901777458215 42.898631453271, -78.9017751677 42.898627254501, -78.901773641092 42.898622721775, -78.901772924776 42.898617992819, -78.901773040517 42.89861321132, -78.901773984799 42.89860852256, -78.901775728929 42.898604069006, -78.901778219913 42.898599985977, -78.901781382064 42.898596397532, -78.901785119303 42.898593412706, -78.901789318073 42.898591122191, -78.901793850799 42.898589595583, -78.901798579755 42.898588879267, -78.901803361254 42.898588995008, -78.901808050014 42.89858993929, -78.901812503568 42.89859168342, -78.901816586597 42.898594174404, -78.901820175041 42.898597336555, -78.901823159867 42.898601073793, -78.901825450382 42.898605272564, -78.901826976991 42.89860980529, -78.901827693307 42.898614534246, -78.901827577566 42.898619315745, -78.901826633284 42.898624004505, -78.901824889154 42.898628458059, -78.90182239817 42.898632541088, -78.901819236018 42.898636129532, -78.90181549878 42.898639114358, -78.90181130001 42.898641404873, -78.901806767284 42.898642931482, -78.901802038328 42.898643647798))","12,001",,,,,,,,,,,,,,"19.1511488189"
"MULTILINESTRING ((-78.802251146017 42.919044479076, -78.802239128094 42.922770455486))","1,622","477,784,341","66","298","65","299","Freund Street",,"12","A40","5","25","14215","14215","414.24916716808"
"MULTILINESTRING ((-78.810429168949 42.938404481928, -78.81044611987 42.938482519514, -78.810608114754 42.938720490296, -78.810887148382 42.939093486581))","1,834","477,778,414","578","602","579","603","Suffolk Street",,"12","A31","4","35","14215","14215","85.68871356192"
"MULTILINESTRING ((-78.86540811787 42.892984435782, -78.86538518973 42.893054449822))","7,050","477,791,531","756","758","755","757","Michigan Avenue",,"12","A41","4","25","14204","14204","8.00680960133"
"MULTILINESTRING ((-78.906825932407 42.929909652085, -78.906883175355 42.930118480489, -78.906895494124 42.930229659961, -78.906917932358 42.930427532048, -78.906909937824 42.930611516277, -78.906888500658 42.9307337356, -78.906774156098 42.931052520467, -78.906723168314 42.931178477916, -78.906634715722 42.931564283354, -78.906623172321 42.931708475562, -78.90665794275 42.931851462954, -78.906715047136 42.931985295539, -78.906798215822 42.932146832865, -78.906888957879 42.932277408735, -78.907001476765 42.932441508122, -78.907163866376 42.932625340372, -78.907238222433 42.932721388777, -78.907312823993 42.932827503847, -78.907384492985 42.932960838176, -78.907416652891 42.933084808759, -78.907441374258 42.933244760194, -78.90744092258 42.933391283372, -78.907408875514 42.933499585653, -78.907343989902 42.933626864811, -78.907179111066 42.933864768865, -78.907138129933 42.933893324833, -78.907088469661 42.933907888642, -78.907038099199 42.933911042044))","9,542","600,057,700",,,,,"Unnamed Street",,"12","A41","6","25","14207","14207","475.16535011582"
"MULTILINESTRING ((-78.878401180052 42.885953434357, -78.878504129898 42.885976502485, -78.8786251186 42.886029481128, -78.878721165512 42.886106445524, -78.878792137394 42.88619551533, -78.878813122997 42.886270434625, -78.878815149919 42.886353470309))","7,688","507,666,569",,,,,"Niagara Square","384","01","A62","3","35","14202","14202","61.14257416248"
"MULTILINESTRING ((-78.863151103566 42.861528507606, -78.863094208238 42.861542495232))","9,651","443,593,155",,,,,"Childs Street",,"12","A40","5","25","14203","14203","4.90652626641"
"MULTILINESTRING ((-78.893145110956 42.893721450725, -78.894286181058 42.894870442933, -78.895844168469 42.896468455917))","9,144","477,791,306",,,,,"Interstate 190 Northbound","190","06","A15","1","65","14201","14201","376.78956976388"
"MULTILINESTRING ((-78.843214118896 42.844432481033, -78.842813177793 42.84466745154))","11,561","477,801,163",,,,,"Tifft Street",,"12","A41","4","25","14220","14220","41.93377636256"
"MULTILINESTRING ((-78.877012132963 42.923247498313, -78.877014148862 42.923720484489))","5,022","477,783,086",,,,,"Elmwood Avenue",,"12","A31","4","35","14222","14222","52.5885843126"
"MULTILINESTRING ((-78.846488146493 42.90279951931, -78.846244122783 42.903225503928))","6,228","477,788,637",,,,,"State Route 33","33","01","A15","2","65","14211","14211","51.38996108139"
"MULTILINESTRING ((-78.839209165161 42.879295449641, -78.839215132593 42.880164473186))","10,890","477,795,117","232","260","227","255","Fillmore Avenue",,"12","A31","4","35","14210","14206","96.61955288661"
"MULTILINESTRING ((-78.870221881419 42.858727648903, -78.869565776831 42.857867237431, -78.869380002935 42.857615045204, -78.869169396121 42.857327966171, -78.868941061542 42.857016474214, -78.868697601808 42.856695958625, -78.868553404869 42.856538851386, -78.868411117262 42.85638643334, -78.868140082375 42.856116883518, -78.867762369998 42.85577232126, -78.867698488457 42.85571065475))","9,716","800,002,663",,,"843","865","Fuhrmann Boulevard",,"12","A45","4","25","14203","14203","394.76974234865"
"MULTILINESTRING ((-78.889783190869 42.954964488499, -78.889541201085 42.95495246567, -78.887763221774 42.95495245363, -78.887498225889 42.954960476867))","2,623","477,774,551","2","98","1","99","Kofler Avenue",,"12","A41","5","25","14207","14207","186.67406366554"
"MULTILINESTRING ((-78.849133156351 42.864680500392, -78.849009153533 42.864786508077))","10,564","477,798,768","64","66","65","67","Smith Street",,"12","A41","5","25","14210","14210","15.54879416587"
"MULTILINESTRING ((-78.878333114495 42.926046503895, -78.877015155383 42.926036472547))","5,033","477,782,268","556","586","555","583","Bird Avenue",,"12","A40","5","25","14222","14222","107.69176755911"
"MULTILINESTRING ((-78.87021379282 42.858841739309, -78.869915046649 42.858458757176, -78.86951806436 42.857909981578, -78.869186677774 42.857478104326, -78.868635642368 42.856743956519, -78.868067683491 42.856153322339, -78.867640526614 42.855744876153))","9,724","800,002,649","800","862",,,"Fuhrmann Boulevard",,"12","A45","4","25","14203","14203","404.33137398951"
"MULTILINESTRING ((-78.881173103252 42.920909475504, -78.879273121594 42.922198476788))","8,541","477,783,835","14","64",,,"Bidwell Parkway",,"12","A35","4","35","14222","14222","211.28864143627"
"MULTILINESTRING ((-78.847093117664 42.900141513965, -78.845853103405 42.900119492206))","6,216","477,789,466","582","608","587","605","High Street",,"12","A31","4","35","14211","14211","101.38750416103"
"MULTILINESTRING ((-78.825740176653 42.863735460111, -78.825602134578 42.86414750112, -78.825550091442 42.864301496761))","11,130","513,530,485","322","328","323","413","Bailey Avenue","62","01","A21","3","35","14210","14210","64.82330700344"
"MULTILINESTRING ((-78.899390209049 42.954426440803, -78.898981164077 42.954862487193))","2,693","477,774,673","386","404","387","405","Ontario Street",,"12","A31","4","35","14207","14207","58.87715006681"
"MULTILINESTRING ((-78.862244167561 42.875213445772, -78.861853143539 42.875048471484, -78.861747190349 42.87499847834))","10,261","477,796,334",,,,,"Interstate 190 Southbound","190","06","A15","1","65","14204","14204","47.15644708597"
"MULTILINESTRING ((-78.855878177406 42.911142508461, -78.855858094992 42.912386510856))","5,334","477,786,556","2","46","1","39","Verplanck Street",,"12","A40","5","25","14208","14208","138.32038353027"
"MULTILINESTRING ((-78.825159094329 42.94803547997, -78.824140201022 42.947835476403, -78.824034117852 42.947824529536, -78.823302191549 42.9477754538, -78.821661093183 42.947623519819))","2,165","477,776,294","92","186","91","187","Lisbon Avenue",,"12","A41","5","25","14214","14214","290.012696605"
"MULTILINESTRING ((-78.802915133498 42.906336441343, -78.80207409517 42.906448512277))","1,236","477,787,675","900","920","901","915","Walden Avenue",,"12","A31","4","35","14211","14211","69.85720077411"
"MULTILINESTRING ((-78.851921265821 42.936004781042, -78.852195170497 42.936023497822))","4,470","600,033,196","280","298","279","299","Jewett Parkway",,"12","A41","5","25","14214","14214","22.47240229706"
"MULTILINESTRING ((-78.814965182178 42.844264447857, -78.81500115813 42.844270450478, -78.81504815864 42.84430246641, -78.815060095068 42.844317464643, -78.815077131434 42.844375511033))","288","477,801,188","2","98",,,"Mcclellan Circle",,"12","A62","4","35","14220","14220","16.79240527819"
"MULTILINESTRING ((-78.869570126818 42.900371464975, -78.868513095012 42.900367445498))","8,142","477,789,352","2","18","1","17","High Street",,"12","A31","4","35","14203","14203","86.40312783682"
"MULTILINESTRING ((-78.826754160947 42.927983457461, -78.826751152166 42.928725466117))","5,862","477,781,716","212","234","211","233","Deerfield Avenue",,"12","A31","4","35","14215","14215","82.49703024902"
"MULTILINESTRING ((-78.876130489013 42.858927109356, -78.876125707544 42.858926991213, -78.876121019232 42.858926044571, -78.876116566528 42.858924298194, -78.876112484726 42.858921805145, -78.87610889785 42.858918641173, -78.876105914883 42.858914902415, -78.876103626464 42.85891070247, -78.876102102123 42.858906168951, -78.876101388178 42.858901439608, -78.876101506321 42.858896658139, -78.876102452963 42.858891969827, -78.87610419934 42.858887517123, -78.876106692389 42.858883435321, -78.876109856361 42.858879848445, -78.876113595119 42.858876865478, -78.876117795064 42.858874577059, -78.876122328583 42.858873052718, -78.876127057926 42.858872338773, -78.876131839394 42.858872456916, -78.876136527707 42.858873403558, -78.87614098041 42.858875149934, -78.876145062213 42.858877642984, -78.876148649089 42.858880806956, -78.876151632055 42.858884545714, -78.876153920475 42.858888745659, -78.876155444816 42.858893279178, -78.876156158761 42.85889800852, -78.876156040618 42.858902789989, -78.876155093976 42.858907478302, -78.876153347599 42.858911931005, -78.87615085455 42.858916012807, -78.876147690578 42.858919599684, -78.87614395182 42.85892258265, -78.876139751875 42.85892487107, -78.876135218356 42.858926395411, -78.876130489013 42.858927109356))","11,915",,,,,,,,,,,,,,"19.1511488189"
