"the_geom","OBJECTID","NYSStreetID","LeftFromAddress","LeftToAddress","RightFromAddress","RightToAddress","CompleteStreetName","HighwayNumber","Jurisdiction","FCC","ACC","SPEED","LeftPostal","RightPostal","Shape.STLength(m)"
"MULTILINESTRING ((-78.829230168224 42.853178446673, -78.828206170328 42.853602423811, -78.82699117002 42.854084467377))","11,246","477,800,229","82","198","75","199","Spaulding Street",,"12","A40","5","25","14220","14220","209.03125402257"
"MULTILINESTRING ((-78.833310204063 42.903594498756, -78.83265911517 42.903584456836))","6,356","477,788,434","76","96","79","93","Walden Avenue",,"12","A31","4","35","14211","14211","53.22784703516"
"MULTILINESTRING ((-78.870409109306 42.88621251108, -78.870297170783 42.886546468129, -78.870220123874 42.886786505263))","7,406","477,793,150","178","194","181","193","Oak Street","954D","01","A30","2","35","14203","14203","65.66278076236"
"MULTILINESTRING ((-78.824270167315 42.911187445658, -78.824287141842 42.912021435696))","5,984","477,786,540","278","306","279","305","Moselle Street",,"12","A41","4","25","14211","14211","92.73319254763"
"MULTILINESTRING ((-78.857160126884 42.83918586755, -78.857363643386 42.83911111269))","11,704","800,002,917",,,,,"Tifft Street",,"12","A41","4","25","14203","14203","18.61079861266"
"MULTILINESTRING ((-78.86956321226 42.884599495724, -78.869298140687 42.885407460133))","7,410","477,793,630","88","158","103","157","Elm Street","954D","01","A30","2","35","14203","14203","92.40885238913"
"MULTILINESTRING ((-78.874333209463 42.873456426356, -78.87343017999 42.873300469548))","10,193","477,796,709","134","150","133","149","South Park Avenue",,"12","A31","4","35","14203","14203","75.85472496835"
"MULTILINESTRING ((-78.850900153389 42.885150478384, -78.850920144019 42.88751743242, -78.850925089782 42.887844462233))","6,737","477,793,383","180","286","187","281","Adams Street",,"12","A40","5","25","14206","14206","299.52781081246"
"MULTILINESTRING ((-78.846412208453 42.932487466997, -78.845831119507 42.93303544783))","4,346","477,780,148","2318","2328","2321","2347","Main Street","5","01","A21","3","35","14214","14214","77.23703904245"
"MULTILINESTRING ((-78.878095125883 42.902269477708, -78.879041107138 42.902273485082))","8,029","477,788,795","244","262","245","251","North Street",,"12","A41","4","25","14201","14201","77.32404865249"
"MULTILINESTRING ((-78.82004210827 42.862884436687, -78.81935209076 42.863420437074, -78.819136102755 42.863601515889, -78.818906119383 42.86383150224))","652","477,799,058","2","126","1","199","Avon Place",,"12","A41","5","25","14210","14210","140.59938285187"
"MULTILINESTRING ((-78.800711079125 42.885343495464, -78.800595186644 42.885334472928, -78.800522093878 42.885340504383, -78.800464121654 42.885355487113, -78.80030411131 42.885435447803, -78.800108182551 42.885564502414, -78.800083086121 42.885590457221, -78.800061138924 42.885713458288, -78.800040099512 42.886771473223, -78.800041083603 42.887273492052))","901","477,793,339","8","66","9","71","Goethe Street",,"12","A41","5","25","14206","14206","248.67288794022"
"MULTILINESTRING ((-78.88098712276 42.936418443143, -78.880790172546 42.936248477931, -78.880611148243 42.936061517053, -78.880391181758 42.935753495664))","3,195","477,779,057",,,,,"State Route 198","198","01","A15","2","65","14216","14216","88.91078208447"
"MULTILINESTRING ((-78.825566113288 42.922468456832, -78.825379168704 42.922484437195))","5,896","477,783,349","844","846","849","851","East Delavan Avenue",,"12","A31","4","35","14215","14215","15.37797125759"
"MULTILINESTRING ((-78.855957117255 42.89685244736, -78.855930136412 42.8970245186, -78.855584137002 42.89804046646, -78.855468175375 42.898417492639))","6,969","477,790,268","2","84","1","75","Rose Street",,"12","A40","5","25","14204","14204","178.67668639612"
"MULTILINESTRING ((-78.82223217943 42.865611508233, -78.821302158739 42.86588651073, -78.821197171089 42.865944492854, -78.821019190298 42.866148435025, -78.820873161339 42.866356441219))","11,105","477,798,631","2","98","1","99","Archer Avenue",,"12","A41","5","25","14210","14210","145.68401025257"
"MULTILINESTRING ((-78.890312109781 42.951484486355, -78.889891166455 42.954239439938))","2,633","477,775,312",,,"523","631","Military Road","265","01","A35","4","35","14207","14207","308.23280568395"
"MULTILINESTRING ((-78.868148830051 42.90036185496, -78.867211170111 42.900348471734))","8,144","477,789,362","40","52","25","51","High Street",,"12","A31","4","35","14203","14203","76.65888810181"
"MULTILINESTRING ((-78.858605153233 42.912422477311, -78.85768919936 42.912411435277))","5,339","477,786,248","184","202","183","203","Glenwood Avenue",,"12","A40","5","25","14208","14208","74.86517214297"
"MULTILINESTRING ((-78.873126105328 42.877516512445, -78.872971140996 42.877448472136, -78.872496188588 42.877265489348, -78.872370155901 42.877223479388, -78.871959204997 42.877108465525, -78.871745198753 42.87705547872))","10,031","477,795,736",,,,,"Interstate 190 Southbound","190","06","A15","1","65","14204","14204","124.33532205372"
"MULTILINESTRING ((-78.85589613905 42.918567455952, -78.855084157778 42.918551445524))","5,253","477,784,639","20","40","21","39","Lyth Avenue",,"12","A40","5","25","14208","14208","66.37523935936"
